run_length,step,step_kl,token_agree,cumulative_kl
1,0,0.00015199801418930292,1,0.00015199801418930292
1,1,1.8574437490315177e-06,1,7.692772896916722e-05
1,2,0.00014731334522366524,1,0.0001003896010539999
1,3,0.00010871142148971558,1,0.00010247005616292881
1,4,0.0003574984148144722,1,0.0001534757278932375
1,5,8.623752364655957e-06,1,0.00012933373197180723
1,6,-6.672309638133811e-08,1,0.00011084795267635172
1,7,0.004742473363876343,1,0.0006898011290763506
1,8,9.274715557694435e-05,1,0.0006234617986875276
1,9,0.0,1,0.0005611156188187749
1,10,5.124868403072469e-05,1,0.0005147640792925886
1,11,1.1715542314050253e-06,1,0.0004719647022041566
1,12,0.0021963061299175024,1,0.0006046063504897986
1,13,0.00034591095754876733,1,0.0005861281081368677
1,14,3.07481677737087e-05,1,0.0005491027787793238
1,15,6.749906606273726e-05,1,0.0005190025467345372
1,16,4.883517976850271e-05,1,0.0004913456427953586
1,17,0.0010291105136275291,1,0.0005212214689527014
1,18,6.597937317565084e-05,1,0.0004972613586486462
1,19,6.263544491957873e-07,1,0.00047242960843867364
1,20,4.576313585857861e-07,1,0.0004499547523872409
1,21,6.548430974362418e-05,1,0.0004324788231761674
1,22,0.0005036729853600264,1,0.00043557422153198735
1,23,0.0003512067487463355,1,0.0004320589101659185
1,24,0.0006214466411620378,1,0.0004396344194057633
1,25,1.3732164916291367e-06,1,0.0004227782192936812
1,26,0.0011609382927417755,1,0.00045011748127324027
1,27,1.605224679224193e-05,1,0.00043461515147034745
1,28,4.208588507026434e-05,1,0.00042107965952551703
1,29,0.0006316015496850014,1,0.0004280970558641665
1,30,5.5328127928078175e-05,1,0.0004160722517371959
1,31,0.00019376998534426093,1,0.0004091253059124167
1,32,0.00024318791110999882,1,0.0004040969000093131
1,33,9.706232231110334e-05,1,0.0003950664712534834
1,34,0.0002518957480788231,1,0.0003909758791627788
1,35,0.00034752325154840946,1,0.0003897688617290464
1,36,0.0012116795405745506,1,0.00041198266386000595
1,37,0.0014332327991724014,1,0.00043885766742085845
1,38,0.0001292735105380416,1,0.00043091961211617083
1,39,0.0013345181941986084,1,0.0004535095766682318
1,40,0.028870470821857452,0,0.0011466061924045542
1,41,5.050539970397949,0,0.121370257721108
1,42,8.969545364379883,0,0.3271417718294516
1,43,8.158120155334473,0,0.5051185532727476
1,44,9.361592292785645,0,0.7019290808174786
1,45,14.973528861999512,0,1.0121812499736098
1,46,21.17600440979004,0,1.4411987640122572
1,47,14.536462783813477,0,1.7140167644247828
1,48,5.8721232414245605,0,1.798876080281921
1,49,10.351633071899414,0,1.969931220114271
1,50,9.433012008666992,0,2.1162661375368734
1,51,10.185020446777344,0,2.2714344896376515
1,52,6.901862144470215,0,2.3588010491627944
1,53,17.07207679748535,0,2.6312691185761747
1,54,19.99102210998535,0,2.946900991147251
1,55,6.329918384552002,0,3.0073120160294784
1,56,6.578461170196533,0,3.069963755576269
1,57,7.367621898651123,0,3.1440613097672148
1,58,6.399637222290039,0,3.199240562521839
1,59,5.442061424255371,0,3.2366209102173977
1,60,11.448034286499023,0,3.3712342442548016
1,61,13.096640586853027,0,3.5280956368773535
1,62,9.517993927001953,0,3.6231733875142518
1,63,8.938440322875977,0,3.706224433379279
8,0,0.0001668707700446248,1,0.0001668707700446248
8,1,0.0020895153284072876,1,0.0011281930492259562
8,2,0.00016168924048542976,1,0.0008060251129791141
8,3,0.000869405921548605,1,0.0008218703151214868
8,4,0.0011789719574153423,1,0.0008932906435802579
8,5,1.231366695719771e-06,1,0.0007446140974328349
8,6,7.066082162054954e-06,1,0.0006392500952512949
8,7,0.004302980378270149,1,0.0010972163806286517
8,8,0.0006556245498359203,1,0.0010481506216516816
8,9,6.017670966684818e-05,1,0.0009493532304531982
8,10,0.0003357252571731806,1,0.0008935688692459239
8,11,2.5408598958165385e-07,1,0.0008191259706412287
8,12,0.002626037457957864,1,0.0009581191619732776
8,13,0.0013120025396347046,1,0.0009833965460919508
8,14,2.323888475075364e-05,1,0.0009193860353358711
8,15,3.7216232158243656e-05,1,0.0008642504226372694
8,16,4.41810698248446e-05,1,0.0008160110489424208
8,17,0.0003950875252485275,1,0.0007926264087372045
8,18,0.00038579199463129044,1,0.0007712140711526828
8,19,4.46969352196902e-06,1,0.000732876852271147
8,20,8.668590453453362e-06,1,0.0006983907445655426
8,21,0.00024114316329360008,1,0.0006776067635986361
8,22,0.0026091178879141808,1,0.0007615855081340945
8,23,0.0005418881773948669,1,0.0007524314526866268
8,24,0.0006232871674001217,1,0.0007472656812751666
8,25,2.878686586882395e-07,1,0.000718535765405302
8,26,0.0011066840961575508,1,0.0007329116295072372
8,27,6.634026067331433e-05,1,0.0007091055091917399
8,28,0.0004111549351364374,1,0.000698831351465695
8,29,4.071705916430801e-05,1,0.0006768942083889821
8,30,8.630356751382351e-05,1,0.0006578428973930092
8,31,0.0005817336495965719,1,0.0006554644833993706
8,32,0.00019568705465644598,1,0.0006415318340435243
8,33,0.0001892242580652237,1,0.0006282286700441626
8,34,0.0012727477587759495,1,0.0006466435011507851
8,35,0.00016493044677190483,1,0.000633262582973594
8,36,0.0001741016167216003,1,0.0006208528271289455
8,37,0.00026049953885376453,1,0.000611369845858546
8,38,0.0037839869037270546,1,0.0006927190011885078
8,39,0.00723249651491642,1,0.0008562134390317055
8,40,0.014062032103538513,0,0.0011783065771904082
8,41,7.527368545532227,0,0.18037331226659603
8,42,15.095117568969727,0,0.5272278298643432
8,43,9.212321281433105,0,0.724616317399997
8,44,11.079973220825195,0,0.9547353596983347
8,45,12.455257415771484,0,1.2047467087434032
8,46,21.44037437438965,0,1.6352919782252382
8,47,20.040958404541016,0,2.0187433621068167
8,48,18.70648956298828,0,2.359309611104398
8,49,10.716323852539062,0,2.526449895933091
8,50,11.941047668457031,0,2.71104985225709
8,51,5.782403945922852,0,2.7701143540583546
8,52,14.965649604797363,0,3.0002187927515434
8,53,21.09245491027832,0,3.335260202335373
8,54,20.313474655151367,0,3.6439550105683907
8,55,7.790560722351074,0,3.7180015411359384
8,56,7.742661952972412,0,3.7886096185365785
8,57,6.314360618591309,0,3.8321570495720048
8,58,12.70474624633789,0,3.9825399173137996
8,59,6.1890435218811035,0,4.0193149773899215
8,60,17.879253387451172,0,4.246527082472893
8,61,17.14655303955078,0,4.4545920172644715
8,62,5.928961277008057,0,4.477994703927068
8,63,8.872247695922852,0,4.546654906927002
