offset,bucket,count,mean_forward_kl
1,downstream_1,124,0.0021925213029223207
2,downstream_2,124,0.0012732648873709203
3,downstream_3,124,0.001965594942204564
4,downstream_4,124,0.0018551496562600556
5,downstream_5,124,0.0021266789295740665
6,downstream_6,124,0.0014357932077179994
7,downstream_7,124,0.0022927165097620847
8,downstream_8,93,0.002738116521223058
-1,far_control,13764,0.0017149234317790905
