policy,positioning,incidence,run_length,experts_per_drop,tokens_total,tokens_affected,realized_incidence,overall_mean_forward_kl,overall_top1_agreement,overall_perplexity_ratio,affected_mean_forward_kl,affected_p90_forward_kl,affected_top1_agreement,affected_perplexity_ratio,affected_large_divergence_fraction,affected_mean_missing_mass,affected_experts_erased_mean
null,mass_omission,0.009,1,1,15872,186,0.01171875,0.0010267742965821057,0.9866431451612904,0.999917318316902,0.004073160611623798,0.009169627912342548,0.978494623655914,1.0025954350168915,0.0,0.06469923450100806,1.0
null,mass_omission,0.009,2,1,15872,186,0.01171875,0.0018524731689643476,0.9830519153225806,0.9994572451673414,0.005333581926821861,0.011508412659168243,0.9623655913978495,0.9971383060266706,0.0,0.06664087439096102,1.0
null,mass_omission,0.009,4,1,15872,186,0.01171875,0.0019417860969570616,0.9829259072580645,1.0004845223684198,0.007274458743131129,0.01781729981303215,0.9838709677419355,1.0065699246293978,0.0,0.06528267809139784,1.0
null,mass_omission,0.009,8,1,15872,186,0.01171875,0.002138491558481849,0.9799017137096774,0.9989624410707025,0.0133326167155618,0.036379359662532806,0.9354838709677419,0.9901272516288889,0.0,0.06769898117229503,1.0
