run_length,gap,policy,positioning,incidence,experts_per_drop,tokens_total,tokens_affected,realized_incidence,overall_mean_forward_kl,overall_top1_agreement,overall_perplexity_ratio,affected_mean_forward_kl,affected_p90_forward_kl,affected_top1_agreement,affected_perplexity_ratio,affected_large_divergence_fraction,affected_mean_missing_mass,affected_experts_erased_mean
2,1,null,mass_omission,0.009,1,15872,124,0.0078125,0.0017631720984354615,0.9832409274193549,0.9998144352736602,0.004286578792567936,0.009594503790140152,0.967741935483871,1.0158307075394535,0.0,0.0683318107358871,1.0
2,7,null,mass_omission,0.009,1,15872,124,0.0078125,0.0009609709865593862,0.9871471774193549,0.9995852838364259,0.0038905410723189915,0.009978672489523888,0.9596774193548387,1.0068352887930032,0.0,0.06566398374495967,1.0
4,1,null,mass_omission,0.009,1,15872,124,0.0078125,0.0018738967764581884,0.9831779233870968,0.9999604771333716,0.005925853222218011,0.015288947150111198,0.9596774193548387,1.0088243955398786,0.0,0.0656156232280116,1.0
4,3,null,mass_omission,0.009,1,15872,124,0.0078125,0.00180930518845637,0.9822328629032258,1.000307588035238,0.007790838428322346,0.01660148985683918,0.9274193548387096,1.0342888237293375,0.0,0.06726246495400706,1.0
