domain,policy,positioning,incidence,run_length,experts_per_drop,tokens_total,tokens_affected,realized_incidence,overall_mean_forward_kl,overall_top1_agreement,overall_perplexity_ratio,affected_mean_forward_kl,affected_p90_forward_kl,affected_top1_agreement,affected_perplexity_ratio,affected_large_divergence_fraction,affected_mean_missing_mass,affected_experts_erased_mean
math,null,mass_omission,0.009,1,1,15872,186,0.01171875,0.0009679977825256965,0.9943926411290323,1.0003458109413208,0.0013147251231731066,0.0025892737321555614,0.978494623655914,0.9952935573204855,0.0,0.06848538306451613,1.0
math,null,mass_omission,0.009,2,1,15872,186,0.01171875,0.0011456232225041717,0.9934475806451613,1.0005418587596624,0.002339269967764736,0.0034333541989326477,0.978494623655914,0.9935752463057009,0.0,0.06750816427251344,1.0
math,null,mass_omission,0.009,4,1,15872,186,0.01171875,0.0013054791807888015,0.9932585685483871,0.9999253623884226,0.005360721674327168,0.005587892606854439,0.978494623655914,1.0043563202859953,0.0,0.0669314476751512,1.0
math,null,mass_omission,0.009,8,1,15872,186,0.01171875,0.001856644675436039,0.9927545362903226,0.9998563688902183,0.009035209827851104,0.011121662333607674,0.978494623655914,1.013283553503396,0.0,0.06854313676075269,1.0
ref_wikitext2,null,mass_omission,0.009,1,1,15872,279,0.017578125,0.0022647052049456586,0.9792716733870968,1.0004196585857235,0.003489132949708557,0.008821539580821991,0.967741935483871,1.0031297534904147,0.0,0.06572808159722222,1.0
ref_wikitext2,null,mass_omission,0.009,2,1,15872,279,0.017578125,0.0011257748288523045,0.9867061491935484,0.9991576683382843,0.0058511254681427845,0.011931689456105232,0.978494623655914,1.00601227881888,0.0,0.06341487105174731,1.0
ref_wikitext2,null,mass_omission,0.009,4,1,15872,279,0.017578125,0.0020111183853699795,0.9817918346774194,0.9996060447732503,0.008510157372468689,0.02099030464887619,0.974910394265233,1.0026491628918686,0.0,0.06785709285394265,1.0
ref_wikitext2,null,mass_omission,0.009,8,1,15872,279,0.017578125,0.0026141969156601736,0.9807837701612904,1.000356114623424,0.014512523928637146,0.037100695073604584,0.9498207885304659,1.012810655010116,0.0,0.06688189762894825,1.0
