policy,positioning,target_m,realized_missing_mass_mean,mean_forward_kl,top1_agreement,perplexity_ratio
renormalize,mass_omission,0.01,0.08176531110491071,4.934801987239292,0.13364955357142858,103.64933446998141
renormalize,mass_omission,0.05,0.08468191964285714,4.880351747785296,0.13504464285714285,99.54014935169695
renormalize,mass_omission,0.125,0.17941720145089285,5.814132417951312,0.091796875,279.89250337751287
renormalize,mass_omission,0.25,0.30433872767857145,6.732760225023542,0.06501116071428571,625.3854528662199
renormalize,mass_omission,0.5,0.5675571986607143,8.84782886505127,0.017578125,5154.140147677938
renormalize,random_within_route,0.01,0.12546648297991073,5.3486794744219095,0.10881696428571429,163.4331895107988
renormalize,random_within_route,0.05,0.12826974051339285,5.399762153625488,0.09877232142857142,176.173771577504
renormalize,random_within_route,0.125,0.20920235770089285,5.98480715070452,0.08203125,294.70143088334044
renormalize,random_within_route,0.25,0.3288051060267857,6.785533428192139,0.05580357142857143,633.074703809124
renormalize,random_within_route,0.5,0.5721958705357143,8.31382955823626,0.016462053571428572,2866.4907790856437
renormalize,mass_adversarial,0.01,0.21282958984375,6.143390383039202,0.072265625,327.5576451840708
renormalize,mass_adversarial,0.05,0.21282958984375,6.143390383039202,0.072265625,327.5576451840708
renormalize,mass_adversarial,0.125,0.21282958984375,6.143390383039202,0.072265625,327.5576451840708
renormalize,mass_adversarial,0.25,0.3402099609375,6.808581897190639,0.043247767857142856,619.429238624215
renormalize,mass_adversarial,0.5,0.5654645647321429,7.6052102361406595,0.023158482142857144,1326.6379836043561
null,mass_omission,0.01,0.06545802525111608,0.03490430622228554,0.9037388392857143,1.024182171015381
null,mass_omission,0.05,0.07477242606026786,0.05806544263448034,0.880859375,1.018206106720881
null,mass_omission,0.125,0.16377476283482142,0.18339133156197412,0.8258928571428571,1.0154452447988385
null,mass_omission,0.25,0.3069545200892857,0.4333617900099073,0.7190290178571429,1.149253234741741
null,mass_omission,0.5,0.5800083705357143,1.8921330996922083,0.4681919642857143,3.581189900340666
null,random_within_route,0.01,0.12540544782366073,0.37321356364658903,0.7393973214285714,1.1274137766102477
null,random_within_route,0.05,0.13061959402901785,0.4264231153896877,0.7315848214285714,1.0926696986416662
null,random_within_route,0.125,0.20938546316964285,0.6898578745978219,0.6568080357142857,1.2810370372068842
null,random_within_route,0.25,0.33145577566964285,1.4395161696842738,0.5131138392857143,2.459003181180277
null,random_within_route,0.5,0.57568359375,5.415444033486502,0.13392857142857142,141.46209718086536
null,mass_adversarial,0.01,0.22835867745535715,3.0424390179770335,0.29408482142857145,11.88666363865185
null,mass_adversarial,0.05,0.22835867745535715,3.0424390179770335,0.29408482142857145,11.88666363865185
null,mass_adversarial,0.125,0.22835867745535715,3.0424390179770335,0.29408482142857145,11.88666363865185
null,mass_adversarial,0.25,0.34230259486607145,5.341277463095529,0.09933035714285714,130.22263064846334
null,mass_adversarial,0.5,0.5643833705357143,7.419376577649798,0.027064732142857144,1078.7289142535815
